Date time,Local date time,Purpose,Amount (BTC),* Exchange rate,Amount (USD)
2021-06-03 00:00:00 GMT,2021-06-02 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000328,36660.93,-0.12
2021-06-04 00:00:00 GMT,2021-06-03 19:00:00 GMT-05:00,Hashpower mining,0.00016369,37654.18,6.16
2021-06-04 00:00:00 GMT,2021-06-03 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000327,37654.18,-0.12
2021-06-05 00:00:00 GMT,2021-06-04 19:00:00 GMT-05:00,Hashpower mining,0.00015018,39018.80,5.86
2021-06-05 00:00:00 GMT,2021-06-04 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000301,39018.80,-0.12
2021-06-06 00:00:00 GMT,2021-06-05 19:00:00 GMT-05:00,Hashpower mining,0.00014959,36856.77,5.51
2021-06-06 00:00:00 GMT,2021-06-05 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000298,36856.77,-0.11
2021-06-07 00:00:00 GMT,2021-06-06 19:00:00 GMT-05:00,Hashpower mining,0.00015552,35290.19,5.49
2021-06-07 00:00:00 GMT,2021-06-06 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000311,35290.19,-0.11
2021-06-08 00:00:00 GMT,2021-06-07 19:00:00 GMT-05:00,Hashpower mining,0.00016328,35636.31,5.82
2021-06-08 00:00:00 GMT,2021-06-07 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000327,35636.31,-0.12
2021-06-09 00:00:00 GMT,2021-06-08 19:00:00 GMT-05:00,Hashpower mining,0.00015945,33838.56,5.40
2021-06-09 00:00:00 GMT,2021-06-08 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000319,33838.56,-0.11
2021-06-10 00:00:00 GMT,2021-06-09 19:00:00 GMT-05:00,Hashpower mining,0.00014712,33353.89,4.91
2021-06-10 00:00:00 GMT,2021-06-09 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000293,33353.89,-0.10
2021-06-11 00:00:00 GMT,2021-06-10 19:00:00 GMT-05:00,Hashpower mining,0.00014220,37368.50,5.31
2021-06-11 00:00:00 GMT,2021-06-10 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000285,37368.50,-0.11
2021-06-12 00:00:00 GMT,2021-06-11 19:00:00 GMT-05:00,Hashpower mining,0.00014352,36788.63,5.28
2021-06-12 00:00:00 GMT,2021-06-11 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000287,36788.63,-0.11
2021-06-13 00:00:00 GMT,2021-06-12 19:00:00 GMT-05:00,Hashpower mining,0.00013696,37100.00,5.08
2021-06-13 00:00:00 GMT,2021-06-12 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000275,37100.00,-0.10
2021-06-14 00:00:00 GMT,2021-06-13 19:00:00 GMT-05:00,Hashpower mining,0.00014325,35858.89,5.14
2021-06-14 00:00:00 GMT,2021-06-13 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000287,35858.89,-0.10
2021-06-15 00:00:00 GMT,2021-06-14 19:00:00 GMT-05:00,Hashpower mining,0.00014216,38834.98,5.52
